2022-06-28 15:06:560 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:542 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:684 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:734 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:543 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:157 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:413 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:435 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:270 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:566 INFO  AboutUs :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (885f754cadca6cb4c0cf394e515b9531)] -> xpath: //a[@id='cookie_action_close_header']]
2022-06-28 16:06:773 INFO  AboutUs :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (885f754cadca6cb4c0cf394e515b9531)] -> xpath: //header/div[1]/div[2]/nav[1]/ul[1]/li[5]/a[1]]
2022-06-28 16:06:133 INFO  AboutUs :49 - Getting text from : [[ChromeDriver: chrome on WINDOWS (885f754cadca6cb4c0cf394e515b9531)] -> xpath: //header/div[1]/div[2]/nav[1]/ul[1]/li[5]/ul[1]/li[1]/a[1]]
2022-06-28 16:06:172 INFO  AboutUs :34 - Getting text from : [[ChromeDriver: chrome on WINDOWS (885f754cadca6cb4c0cf394e515b9531)] -> xpath: //h1[contains(text(),'OUR STORY')]]
2022-06-28 16:06:503 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-28 16:06:600 INFO  AboutUs :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a14f720e8fd7be86c4710fcc730831bf)] -> xpath: //a[@id='cookie_action_close_header']]
2022-06-28 16:06:794 INFO  AboutUs :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a14f720e8fd7be86c4710fcc730831bf)] -> xpath: //header/div[1]/div[2]/nav[1]/ul[1]/li[5]/a[1]]
2022-06-28 16:06:142 INFO  AboutUs :49 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a14f720e8fd7be86c4710fcc730831bf)] -> xpath: //header/div[1]/div[2]/nav[1]/ul[1]/li[5]/ul[1]/li[1]/a[1]]
2022-06-28 16:06:188 INFO  AboutUs :34 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a14f720e8fd7be86c4710fcc730831bf)] -> xpath: //h1[contains(text(),'OUR STORY')]]
2022-06-29 16:06:174 INFO  ManageDriver :30 - Launching Chrome Browser
2022-06-29 16:06:190 INFO  AboutUs :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4b8fb850e17bd23c6cf74a112af966ba)] -> xpath: //a[@id='cookie_action_close_header']]
2022-06-29 16:06:372 INFO  AboutUs :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4b8fb850e17bd23c6cf74a112af966ba)] -> xpath: //header/div[1]/div[2]/nav[1]/ul[1]/li[5]/a[1]]
2022-06-29 16:06:318 INFO  AboutUs :49 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4b8fb850e17bd23c6cf74a112af966ba)] -> xpath: //header/div[1]/div[2]/nav[1]/ul[1]/li[5]/ul[1]/li[1]/a[1]]
2022-06-29 16:06:371 INFO  AboutUs :34 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4b8fb850e17bd23c6cf74a112af966ba)] -> xpath: //h1[contains(text(),'OUR STORY')]]
